country,sex,year,agegroup,meanheight
United States of America,Boys,1985,5,113.9148963
United States of America,Boys,1985,6,120.300116
United States of America,Boys,1985,7,126.2472657
United States of America,Boys,1985,8,131.8786768
United States of America,Boys,1985,9,137.3216919
United States of America,Boys,1985,10,142.6888017
United States of America,Boys,1985,11,148.1696438
United States of America,Boys,1985,12,154.2706286
United States of America,Boys,1985,13,161.188491
United States of America,Boys,1985,14,167.5323806
United States of America,Boys,1985,15,171.9000382
United States of America,Boys,1985,16,174.3859469
United States of America,Boys,1985,17,175.4790039
United States of America,Boys,1985,18,175.6762965
United States of America,Boys,1985,19,175.7306254
United States of America,Boys,1986,5,113.9344047
United States of America,Boys,1986,6,120.3299004
United States of America,Boys,1986,7,126.283161
United States of America,Boys,1986,8,131.9193906
United States of America,Boys,1986,9,137.3609209
United States of America,Boys,1986,10,142.7350942
United States of America,Boys,1986,11,148.2335213
United States of America,Boys,1986,12,154.3623184
United States of America,Boys,1986,13,161.3068791
United States of America,Boys,1986,14,167.66339
United States of America,Boys,1986,15,172.0203584
United States of America,Boys,1986,16,174.4935031
United States of America,Boys,1986,17,175.5647592
United States of America,Boys,1986,18,175.729837
United States of America,Boys,1986,19,175.7687993
United States of America,Boys,1987,5,113.9274825
United States of America,Boys,1987,6,120.3494088
United States of America,Boys,1987,7,126.3129453
United States of America,Boys,1987,8,131.9552859
United States of America,Boys,1987,9,137.4016347
United States of America,Boys,1987,10,142.7743233
United States of America,Boys,1987,11,148.2798138
United States of America,Boys,1987,12,154.426196
United States of America,Boys,1987,13,161.3985689
United States of America,Boys,1987,14,167.7817781
United States of America,Boys,1987,15,172.1513678
United States of America,Boys,1987,16,174.6138232
United States of America,Boys,1987,17,175.6723154
United States of America,Boys,1987,18,175.8155923
United States of America,Boys,1987,19,175.8223398
United States of America,Boys,1988,5,113.8852832
United States of America,Boys,1988,6,120.3424866
United States of America,Boys,1988,7,126.3324537
United States of America,Boys,1988,8,131.9850702
United States of America,Boys,1988,9,137.43753
United States of America,Boys,1988,10,142.815037
United States of America,Boys,1988,11,148.3190428
United States of America,Boys,1988,12,154.4724885
United States of America,Boys,1988,13,161.4624465
United States of America,Boys,1988,14,167.873468
United States of America,Boys,1988,15,172.2697559
United States of America,Boys,1988,16,174.7448327
United States of America,Boys,1988,17,175.7926356
United States of America,Boys,1988,18,175.9231485
United States of America,Boys,1988,19,175.9080951
United States of America,Boys,1989,5,113.822739
United States of America,Boys,1989,6,120.3002872
United States of America,Boys,1989,7,126.3255316
United States of America,Boys,1989,8,132.0045787
United States of America,Boys,1989,9,137.4673143
United States of America,Boys,1989,10,142.8509323
United States of America,Boys,1989,11,148.3597566
United States of America,Boys,1989,12,154.5117175
United States of America,Boys,1989,13,161.508739
United States of America,Boys,1989,14,167.9373455
United States of America,Boys,1989,15,172.3614458
United States of America,Boys,1989,16,174.8632208
United States of America,Boys,1989,17,175.923645
United States of America,Boys,1989,18,176.0434687
United States of America,Boys,1989,19,176.0156513
United States of America,Boys,1990,5,113.7609143
United States of America,Boys,1990,6,120.2377431
United States of America,Boys,1990,7,126.2833322
United States of America,Boys,1990,8,131.9976565
United States of America,Boys,1990,9,137.4868228
United States of America,Boys,1990,10,142.8807167
United States of America,Boys,1990,11,148.3956519
United States of America,Boys,1990,12,154.5524313
United States of America,Boys,1990,13,161.547968
United States of America,Boys,1990,14,167.983638
United States of America,Boys,1990,15,172.4253233
United States of America,Boys,1990,16,174.9549106
United States of America,Boys,1990,17,176.0420331
United States of America,Boys,1990,18,176.1744781
United States of America,Boys,1990,19,176.1359715
United States of America,Boys,1991,5,113.7176738
United States of America,Boys,1991,6,120.1759184
United States of America,Boys,1991,7,126.220788
United States of America,Boys,1991,8,131.9554571
United States of America,Boys,1991,9,137.4799006
United States of America,Boys,1991,10,142.9002251
United States of America,Boys,1991,11,148.4254362
United States of America,Boys,1991,12,154.5883266
United States of America,Boys,1991,13,161.5886818
United States of America,Boys,1991,14,168.022867
United States of America,Boys,1991,15,172.4716158
United States of America,Boys,1991,16,175.0187882
United States of America,Boys,1991,17,176.133723
United States of America,Boys,1991,18,176.2928662
United States of America,Boys,1991,19,176.2669809
United States of America,Boys,1992,5,113.6918446
United States of America,Boys,1992,6,120.1326779
United States of America,Boys,1992,7,126.1589634
United States of America,Boys,1992,8,131.8929129
United States of America,Boys,1992,9,137.4377012
United States of America,Boys,1992,10,142.8933029
United States of America,Boys,1992,11,148.4449447
United States of America,Boys,1992,12,154.6181109
United States of America,Boys,1992,13,161.6245771
United States of America,Boys,1992,14,168.0635808
United States of America,Boys,1992,15,172.5108449
United States of America,Boys,1992,16,175.0650807
United States of America,Boys,1992,17,176.1976005
United States of America,Boys,1992,18,176.3845561
United States of America,Boys,1992,19,176.385369
United States of America,Boys,1993,5,113.6882439
United States of America,Boys,1993,6,120.1068487
United States of America,Boys,1993,7,126.1157229
United States of America,Boys,1993,8,131.8310883
United States of America,Boys,1993,9,137.375157
United States of America,Boys,1993,10,142.8511035
United States of America,Boys,1993,11,148.4380225
United States of America,Boys,1993,12,154.6376194
United States of America,Boys,1993,13,161.6543614
United States of America,Boys,1993,14,168.0994761
United States of America,Boys,1993,15,172.5515586
United States of America,Boys,1993,16,175.1043097
United States of America,Boys,1993,17,176.243893
United States of America,Boys,1993,18,176.4484336
United States of America,Boys,1993,19,176.4770589
United States of America,Boys,1994,5,113.6972166
United States of America,Boys,1994,6,120.103248
United States of America,Boys,1994,7,126.0898936
United States of America,Boys,1994,8,131.7878478
United States of America,Boys,1994,9,137.3133324
United States of America,Boys,1994,10,142.7885594
United States of America,Boys,1994,11,148.3958231
United States of America,Boys,1994,12,154.6306972
United States of America,Boys,1994,13,161.6738699
United States of America,Boys,1994,14,168.1292605
United States of America,Boys,1994,15,172.5874539
United States of America,Boys,1994,16,175.1450235
United States of America,Boys,1994,17,176.2831221
United States of America,Boys,1994,18,176.4947261
United States of America,Boys,1994,19,176.5409364
United States of America,Boys,1995,5,113.7082363
United States of America,Boys,1995,6,120.1122207
United States of America,Boys,1995,7,126.0862929
United States of America,Boys,1995,8,131.7620186
United States of America,Boys,1995,9,137.2700919
United States of America,Boys,1995,10,142.7267347
United States of America,Boys,1995,11,148.3332789
United States of America,Boys,1995,12,154.5884978
United States of America,Boys,1995,13,161.6669477
United States of America,Boys,1995,14,168.1487689
United States of America,Boys,1995,15,172.6172383
United States of America,Boys,1995,16,175.1809188
United States of America,Boys,1995,17,176.3238358
United States of America,Boys,1995,18,176.5339551
United States of America,Boys,1995,19,176.5872289
United States of America,Boys,1996,5,113.7135437
United States of America,Boys,1996,6,120.1232404
United States of America,Boys,1996,7,126.0952656
United States of America,Boys,1996,8,131.7584178
United States of America,Boys,1996,9,137.2442626
United States of America,Boys,1996,10,142.6834942
United States of America,Boys,1996,11,148.2714543
United States of America,Boys,1996,12,154.5259536
United States of America,Boys,1996,13,161.6247483
United States of America,Boys,1996,14,168.1418467
United States of America,Boys,1996,15,172.6367467
United States of America,Boys,1996,16,175.2107031
United States of America,Boys,1996,17,176.3597311
United States of America,Boys,1996,18,176.5746689
United States of America,Boys,1996,19,176.626458
United States of America,Boys,1997,5,113.7037366
United States of America,Boys,1997,6,120.1285478
United States of America,Boys,1997,7,126.1062853
United States of America,Boys,1997,8,131.7673905
United States of America,Boys,1997,9,137.2406619
United States of America,Boys,1997,10,142.657665
United States of America,Boys,1997,11,148.2282138
United States of America,Boys,1997,12,154.464129
United States of America,Boys,1997,13,161.5622041
United States of America,Boys,1997,14,168.0996473
United States of America,Boys,1997,15,172.6298245
United States of America,Boys,1997,16,175.2302116
United States of America,Boys,1997,17,176.3895155
United States of America,Boys,1997,18,176.6105642
United States of America,Boys,1997,19,176.6671717
United States of America,Boys,1998,5,113.6836757
United States of America,Boys,1998,6,120.1187407
United States of America,Boys,1998,7,126.1115928
United States of America,Boys,1998,8,131.7784102
United States of America,Boys,1998,9,137.2496346
United States of America,Boys,1998,10,142.6540643
United States of America,Boys,1998,11,148.2023846
United States of America,Boys,1998,12,154.4208885
United States of America,Boys,1998,13,161.5003795
United States of America,Boys,1998,14,168.0371031
United States of America,Boys,1998,15,172.5876251
United States of America,Boys,1998,16,175.2232894
United States of America,Boys,1998,17,176.4090239
United States of America,Boys,1998,18,176.6403486
United States of America,Boys,1998,19,176.703067
United States of America,Boys,1999,5,113.6542678
United States of America,Boys,1999,6,120.0986798
United States of America,Boys,1999,7,126.1017856
United States of America,Boys,1999,8,131.7837177
United States of America,Boys,1999,9,137.2606543
United States of America,Boys,1999,10,142.663037
United States of America,Boys,1999,11,148.1987838
United States of America,Boys,1999,12,154.3950592
United States of America,Boys,1999,13,161.457139
United States of America,Boys,1999,14,167.9752785
United States of America,Boys,1999,15,172.525081
United States of America,Boys,1999,16,175.18109
United States of America,Boys,1999,17,176.4021017
United States of America,Boys,1999,18,176.659857
United States of America,Boys,1999,19,176.7328514
United States of America,Boys,2000,5,113.6378352
United States of America,Boys,2000,6,120.0692719
United States of America,Boys,2000,7,126.0817247
United States of America,Boys,2000,8,131.7739106
United States of America,Boys,2000,9,137.2659618
United States of America,Boys,2000,10,142.6740567
United States of America,Boys,2000,11,148.2077565
